,id,title,focus_sentence,aspect_politics,aspect_humanity,aspect_science,aspect_economy
206,dldqdm-f4tgmbu-f4ps5y2-1,CMV: The only moral thing our society can do on Climate Change is to act (globally) with an Apollo program-like spending to reduce GHG emissions as quickly as possible,Have you changed your behavior to reduce the amount of animal products you use in accordance with a moral imperative to personally impact climate change?,,,,
426,det9iq-5,"CMV: ""Positive side of climate change facts, after two years of action, heading for 3 Celcius degree with 1.5 Celcius degree well within reach"" is wrong","The research concludes it's far worse than previously predicted: ""Climate change is moving as predicted""",,,,
379,lcge08-glzppa0-glzoxl9-7,CMV: the fight against climate change will be impossible because of compromises.,"There have been many innovations in food production and manufacturing, and I don't see why that will not continue.",,,,
142,e99ns3-faih31o-fahkwpk-8,CMV: Greta Thunberg is not a productive force for the Climate Change cause,"Now we have Greta Thunberg representing the people that will be most affected by climate change, the young people of the world.",,,,
70,l9ssyl-6,"CMV: The Green New Deal distracts from climate change, by tying climate change to left-leaning policy/rhetoric. The bill seems designed to raise republican opposition, and is a disappointment/insulting for people who believe that climate change is the #1 issue of our lifetime.","By tying together climate change, and a plethora of other issues, like equal protection and rights for illegal immigrants, government-run(?) healthcare for all, etc, it is ensuring intense opposition by non democrats.",,,,
403,j7vw7u-0,CMV: Whether climate change is man-made or not is irrelevant.,"In political discussions around climate change a common argument by those who do not want to legislate against fossil fuels, deforestation, mass land farming, greenhouse gas emissions, industrial biodiversity loss, rising temperatures, etc. seems to be that climate change is a natural thing that happens on Earth over time.",,,,
472,jm5egb-gatge83-gate54z-21,CMV: Nuclear energy is a viable temporary solution to our climate change problem,"The highest risk / costs to large controversial infrastructure projects like fission reactors is the time cost of capital; with cheaper, less risky alternatives including even coal and natural gas on top of renewal energy, it makes it financial unviable to attract the right kind of investor to put money into the project.",,,,
89,9gyofb-15,CMV: Climate Change is a myth crafted to distract from real problems,"A lot of people tend to just quote scientists who say that climate change is real, but don't provide cold, hard proof (other than the standard government propaganda bullshit from NASA and other such organizations).",,,,
59,g0tkib-3,"CMV: There is absolutely no conflict between being conservative and being against climate change, and the Republican party needs to fight climate change if it is to survive.","To me, I can't fathom how a conservative could care so little about the natural world such that they would blow off climate change entirely.",,,,
80,q6e7rm-41,"CMV: While it's not technically too late to mitigate climate change, the conditions required to do so are not going to happen in the time we have left. Most of humanity is going to die, whether through starvation or war.","Geoengineering won't save us, because these projects won't be considered until people in developed countries directly feel the effects of climate change.",,,,
484,f7u4jw-fijy5go-fijwp5g-6,CMV: There is no viable free market solution to climate change,"Regardless of that fact, the free market is still the BEST vehicle for coming up with solutions to climate change provided that there is demand for those solutions.",,,,
304,a2qerv-eb0l659-eb0cg2w-9,CMV: People should be changing their lifestyles instead of calling for government action when it comes to preventing pollution and slowing climate change.,"If a company has horrible environmental practices, but is able to hide that from the consumer, is it really the consumer's responsibility to thoroughly research the business practices of every company and product we patronize?",,,,
297,paqlx8-20,CMV: Everyday people will have to make sacrifices/change their lifestyle for our society as a whole to combat climate change,Realistically if we did hold these corporations accountable for the pollution they cause and pass legislation to be more green that would inevitably force every day people to make changes/sacrifices as well.,,,,
75,p15b30-5,"CMV: Climate change activists (any entity that officially acknowledges and actively aims to inform/mitigate its effects) don't take climate change seriously enough. So we can't expect average people to react seriously as well. Basically, Greta is bad climate mascot","The European union spent over $200 billion euros on climate change from 2014-2020, with a budget like that, the global marketing has been absolutely inexcusably bad considering climate change is supposed to be life or death of the planet.",,,,
205,k4askm-ge8lyb3-ge8huk0-16,"CMV: regardless of how you feel you climate change, switching to renewables and lowering emissions is a good thing.","It's a suboptimal solution to resort to 17th century power because we learned how to store it a lot better, rather than work towards civilization changing energy sources.",,,,
181,boou2f-enjmkcg-enisk7k-1,CMV: There is no policy worth worrying about until climate change is fixed,"Climate change is a big deal that will have a major effect on humanity as a whole, but as far as direct effect on you?",,,,
465,8t5hur-e15gcbw-e159e5f-51,CMV: A carbon tax will help fight climate change,"Indeed, the CBO agrees and even starts their report with ""The effects of a carbon tax on the U.S. economy would depend on how the revenues from the tax were used.""",,,,
383,f4gi9s-fhrzdjp-fhryhl2-3,CMV: I don't totally trust the 97% Climate Change Consensus,"Remember that belief should ALWAYS be tentative, it is a strength of science that theories change with new evidence, if in 10 years the evidence shows that climate change is not happening, that will not change the fact that today, here and now, the best evidence implies that it is happening and that it is rational to believe thus.",,,,
233,pgwesg-5,CMV: It's in bad taste to start talking about climate change hours after a tragic weather event,There is actually no way to definitively link any one event to human-caused climate change.,,,,
479,dfz39r-f37r81l-f370e1k-5,CMV: Every proposed solution to climate change has been a complete waste of time,An increase in price will mean they build more pumps because oil fields that were previously unprofitable suddenly become profitable.,,,,
217,an59pr-5,CMV: The most ethical course of action is to take very drastic measures to stop climate change,"The actions we take today to fight climate change, however small, will influence the well being of ALL the generations to come.",,,,
302,f0y5af-fh0f5n6-fgzvlg1-0,CMV: Trump supporters follow Trump's call on Climate change blindly and won't use real facts to answer questions.,"meh, but I doubt that a majority of them would accept this as scientific fact.",,,,
66,dywo3t-2,CMV: it's unfair for a burden to be placed on everyday people to address climate change,"The crux of my argument is that corporations and governments are largely the ones who impose the imperative that people must address rising temperatures, while they contribute way more emissions than it would ever be possible for everyday people to counteract.",,,,
499,qps0qw-0,"CMV: The current pushback on the traditional Climate Change narrative where people are pointing out that the vast majority of global carbon emissions are caused by large corporations, while true, is counterproductive buck-passing and is not an effective reaction or tactic to address climate change.","To clarify, I agree that the vast majority of damage being done to the environment, including carbon emissions resulting in and exacerbating climate change are being done by large corporations like oil companies, goods manufacturers, etc.",,,,
243,a0w0rw-16,CMV: Climate change deniers have as much science comprehension as Flat-Earthers,My definition of climate change deniers are people who will deny that climate change is happening and/or that the #1 cause is anthropic.,,,,
478,csberj-exduvk7-exdugna-6,CMV: Celebrities and politicians that believe in climate change should adopt extreme lifestyle changes and donate bulk of their $ to the cause.,"Many who lead opulent lifestyles also try to live more environmentally sensitive ones, such as by purchasing carbon offsets, investing in sustainable technologies, and environmental advocacy.",,,,
31,e4cukq-f9akeeu-f9akeeu-2,CMV: Socialism in it and of itself won't be an effective solution to climate change,"But I guess if they already have a huge majority to vote in a socialist government, then they'd be able to vote in any government they'd like anyways, and they wouldn't need to abolish capitalism to see the change they want.",,,,
500,kwv7es-17,CMV: Global Climate Change can be stunted without reducing the unprecedented excess of luxuries we somehow feel entitled to,A carbon-tax on the companies which release gasses into the atmosphere or fill up landfills is only going to hurt the economy without helping the problem.,,,,
42,jm5egb-gatge83-gate54z-27,CMV: Nuclear energy is a viable temporary solution to our climate change problem,"The countries pursuing nuclear energy in earnest today are China, South Korea, India & Russia.",,,,
266,9gyofb-12,CMV: Climate Change is a myth crafted to distract from real problems,"and I don't teach my students about it, but she continues to stand firm on the subject, so I figured maybe someone here could provide some more information on the matter and possibly change my mind.",,,,
253,b5yph1-19,CMV: More than 60% of people believe climate change is real. Yet they aren't willing to change their lifestyle over it. They are hypocrites.,"90% of the people that believe climate change is an issue truly only care about the issue for maybe an hour of their life, on voting day.",,,,
491,g0tkib-1,"CMV: There is absolutely no conflict between being conservative and being against climate change, and the Republican party needs to fight climate change if it is to survive.","However, I also have very conservative values, and therefore have always been drawn to voting Republican (I think that the nuclear family is the backbone of our nation, religion should play an important role in everyone's life, and the identity politics of the modern left is reprehensible).",,,,
214,g0tkib-0,"CMV: There is absolutely no conflict between being conservative and being against climate change, and the Republican party needs to fight climate change if it is to survive.","Ever since I was a young teenager, I was always amazed by people who thought climate change was not a big issue and were surprised that there could be anyone who denied it altogether.",,,,
511,paqlx8-1,CMV: Everyday people will have to make sacrifices/change their lifestyle for our society as a whole to combat climate change,And I definitely think for us to actively combat climate change we need legislation that would restrict the use of fossil fuels and wastefulness in this major corporations.,,,,
396,r9tzu2-0,CMV: Climate change is a 'solved' issue and humanity and the economy will be just fine.,ok what do I mean by solved: the technology to convert our entire grid (by entire,,,,
248,e99ns3-8,CMV: Greta Thunberg is not a productive force for the Climate Change cause,"As nice as her intentions may be, a young girl from a wealthy family who skips school and galavants the world on a private yacht meeting with celebrities like Leonardo DiCaprio will not convince anybody who is not already on board with climate change action.",,,,
423,e9cpgn-2,CMV: Climate Change requires instant ban of any new fossil fuel projects being started,"Also, fossil fuels are requiring less and less need - more wind farms and renewable energy sources are opening, and electric cars are also making an appearance.",,,,
125,q6e7rm-hgbn6py-hgbmnwe-2,"CMV: While it's not technically too late to mitigate climate change, the conditions required to do so are not going to happen in the time we have left. Most of humanity is going to die, whether through starvation or war.","Since the Industrial Revolution there has always been angst about society turning into a place that one doesn't recognize, and that angst is going to turn into rage as these changes accelerate.",,,,
272,bd2zne-14,CMV: Nothing I can do will meaningfully contribute to ending climate change and pollution.,"This shows that pollution is caused primarily by companies and corporations, not by 'little' people like you (probably) or me.",,,,
95,ek2e4n-44,CMV: Avoiding a climate change apocalypse by 2050 is essentially impossible.,"Given the current state of politics and the impact of the largest companies in the world, I don't see a way to get them to change, especially when so many people of wealth and power actively spend large amounts of money to fight climate change action and regulation.",,,,
459,qps0qw-hjxm12x-hjw3l2e-5,"CMV: The current pushback on the traditional Climate Change narrative where people are pointing out that the vast majority of global carbon emissions are caused by large corporations, while true, is counterproductive buck-passing and is not an effective reaction or tactic to address climate change.",Let's say a person runs for office on the platform that they will pass sweeping legislation to regulate the carbon emissions of major corporations.,,,,
114,lcge08-glzp700-glzo9ts-1,CMV: the fight against climate change will be impossible because of compromises.,"I'd argue that it's far more likely, given humanity's propensity for technological solutions to problems and the rate at which we've developed so far, that we end up creating ways to control our environment, as opposed to stopping causing damage to it.",,,,
496,j7vw7u-35,CMV: Whether climate change is man-made or not is irrelevant.,I have no control over these corporations; the free market does not apply because there are no alternatives.,,,,
141,qusgx7-hkselpq-hksd6w1-1,CMV: Fearing the future effects of climate change is not a good excuse for not having kids,"To the latter point, all I could really counter with is to say that most people I've met who are concerned about climate change enough to not want children are not acting in bad faith.",,,,
448,k4askm-1,"CMV: regardless of how you feel you climate change, switching to renewables and lowering emissions is a good thing.","I understand that lithium is not renewable for batteries and some renewable energy might be less consistent than coal, gas or nuclear, but there's many cases around the world now showing creation of jobs, consistent power, green hydrogen, and new battery technology, and energy companies can phase out old technology and still provide the energy and make money",,,,
26,qps0qw-hjxm12x-hjw76pu-23,"CMV: The current pushback on the traditional Climate Change narrative where people are pointing out that the vast majority of global carbon emissions are caused by large corporations, while true, is counterproductive buck-passing and is not an effective reaction or tactic to address climate change.","Policy making is generally slow, but if you look at when a policy start its journey rather than when it's put into action, the split in time that makes it looks like one came after the other/ because of the other would probably be smaller, and sometimes show that in fact both started at the same time.",,,,
9,an59pr-efr6yxf-efqu8zh-11,CMV: The most ethical course of action is to take very drastic measures to stop climate change,"In the mean time, underdeveloped countries have had the lowest emissions, making them the least responsible, and will be the ones to suffer the most.",,,,
513,digyqk-3,CMV: Accusations towards developing countries to do more about climate change are ridiculous,China built its economy from the ground up by manufacturing literally everything for the west.,,,,
320,muah4c-gv4vhtk-gv4u5ix-16,CMV: we will never tackle climate change without massively investing in nuclear energy,"Battery technology is really coming forward, long distance transmission is getting more efficient, and renewables are cheap as.",,,,
17,t5ef90-hz71jky-hz4lqnc-10,CMV: Society will collapse in my lifetime due to climate change,"Like with so many issues, it will be the Global South that will truly suffer for the mistakes of the affluent countries.",,,,
231,p15b30-7,"CMV: Climate change activists (any entity that officially acknowledges and actively aims to inform/mitigate its effects) don't take climate change seriously enough. So we can't expect average people to react seriously as well. Basically, Greta is bad climate mascot","Greta Thornburg became the climate change mascot as a 15yr old that doesn't know shit about climate change, she could/can literally only be a useful zealot who believes and trusts, rather than a legitimate Climate change authority that people can actually cling to and believe in.",,,,
202,e99ns3-faikn0f-fahdqbv-15,CMV: Greta Thunberg is not a productive force for the Climate Change cause,"But she's a great face for the climate change cause, because if climate change is ignored, it affects children the most.",,,,
32,muah4c-gv4vhtk-gv4u5ix-3,CMV: we will never tackle climate change without massively investing in nuclear energy,"So while I try and address your points from the European context that you are coming from, I myself am coming from a very different direction where we have not had nuclear, but are looking to leapfrog straight into the renewable side despite what our federal government would like.",,,,
178,dfd2db-f32e199-f32dv4y-16,CMV: Corporations and the Ultra Wealthy CEOs are responsible for climate change,"Lose access to a lot of luxuries, and stop contributing to pollution and Climate Change.",,,,
35,e99ns3-faih31o-faih31o-1,CMV: Greta Thunberg is not a productive force for the Climate Change cause,"Ideally, I feel like scientists and experts in the field should be the voices we turn to on climate change but as we've seen over the last few decades, even a scientific consensus hasn't changed public policy significantly.",,,,
474,dfd2db-f32e199-f32dv4y-8,CMV: Corporations and the Ultra Wealthy CEOs are responsible for climate change,"""It's not me polluting, it's the <insert industry here> that makes the product (that I want and bought and am using) that is responsible!",,,,
2,f0y5af-fh0f5n6-fh0d59v-1,CMV: Trump supporters follow Trump's call on Climate change blindly and won't use real facts to answer questions.,"Such studies shows how conservative, which is what i am dealing with in the CMV, reacts to climate change.",,,,
103,g0tkib-fnbs4wi-fnbpqm9-6,"CMV: There is absolutely no conflict between being conservative and being against climate change, and the Republican party needs to fight climate change if it is to survive.","It runs counter to the ideals of these religious people to suppose that human activity could cause such things, counter to the will of God, and that God is not in control of the climate and the earth.",,,,
388,cj1uik-evcvmry-evavm63-8,CMV: Humanity can never cope with climate change and global warming and the oncoming disasters with them because humanity can never be united to work together and sort out the mess that is responsible for causing these disasters.,"The main issue right now is expense, but this expense is likely to come down, and all we would need to do once we scale the technology is to put a surcharge on any carbon dioxide production that is equivalent to the cost to remove it from the atmosphere.",,,,
241,qj8zv5-7,CMV: People who fight for climate change are dishonest and are only looking for purpose,"""But behold, climate change is coming and our Western future is in jeopardy, our offspring will be in the same situation as people in other parts of the world are right now at this very moment.",,,,
137,perr6j-hazps55-haze3b5-2,"CMV: Instead of saying ""global warming"" and ""climate change"" we should call it what it really is: Global Atmospheric Toxification (GAT)","Hence, people get tripped up in preventable arguments rather than coming together to make changes for the better.",,,,
281,ek2e4n-33,CMV: Avoiding a climate change apocalypse by 2050 is essentially impossible.,"And even when people do think climate change is an issue, they are unlikely to do anything about it.",,,,
25,qps0qw-hjxm12x-hjw76pu-16,"CMV: The current pushback on the traditional Climate Change narrative where people are pointing out that the vast majority of global carbon emissions are caused by large corporations, while true, is counterproductive buck-passing and is not an effective reaction or tactic to address climate change.","As in many cities, sorry for going to France again, might be a clue on what country I live ine, like Rennes, policies and infrastructures changes were made to increase the bycicle lanes capacity and willingly reduce the efficiency of cars trafic to boost up bycicle use.",,,,
213,bd2zne-ekvfyx8-ekvfyx8-3,CMV: Nothing I can do will meaningfully contribute to ending climate change and pollution.,I do know many people of voting age (including my parents oof) who reject climate change as being a man-made (or man-accelerated?) issue.,,,,
175,bx9qvh-eq4sxze-eq4nsyr-1,CMV: Climate change cannot end human civilization.,Human civilization progresses sure but the concern is that our contributions to climate change are accelerating it beyond the capacity in which we can respond to it.,,,,
47,b65ulf-ejjs8tf-ejjs8tf-3,CMV: Having children is not a good solution to climate change.,"However, I still maintain my main view that having children isn't a good solution to climate change, on account of the fact that scientific engagement in western countries just isn't high enough.",,,,
282,ek2e4n-36,CMV: Avoiding a climate change apocalypse by 2050 is essentially impossible.,Some may even have a defeatist attitude and decide they won't change their lifestyles simply because they don't believe it will achieve anything.,,,,
352,a0w0rw-eakvquy-eakv59w-0,CMV: Climate change deniers have as much science comprehension as Flat-Earthers,"If you're the CEO, or a major stock owner of a polluting company, or a lobbyist being paid by one, or a politician, academic, celebrity, media person, etc, endorsed by one, or one of the countless people that those people with lots of power and influence do their best to convince because it's important that the public support the politicians who support the industrialists.",,,,
485,f7u4jw-fijy5go-fijwp5g-8,CMV: There is no viable free market solution to climate change,So I don't think there is a way you can come up with a free market solution that would adequately address the problem and still have a fully functioning free market.,,,,
284,ek2e4n-45,CMV: Avoiding a climate change apocalypse by 2050 is essentially impossible.,"People in positions of power and wealth want to keep that status quo, and climate change is a threat to them and their businesses.",,,,
263,d7m308-45,CMV: Individuals decreasing their emissions have little effect on climate change,"As 1. gets implemented, oil wells and coal mines close down, and fossil fuels become rarer, which causes rising prices, which will cause people to decrease their emissions (by e.g. buying an electric car since gas is too expensive).",,,,
177,bx9qvh-eq4sxze-eq4sxze-6,CMV: Climate change cannot end human civilization.,"Funny, I think a shirt that says ""climate change will lead to nuclear holocaust"" is far more eye rolling than ""climate change will make earth unlivable for humans"", but it's the most realistic.",,,,
408,pa3sub-1,CMV: You can't prove climate change is man-made,"A measurement is reliable if you repeat it and get the same or a similar answer over and over again, and an experiment is reliable if it gives the same result when you repeat the entire experiment.",,,,
145,dklnz9-f4iry3b-f4hbyzk-0,"CmV: The discussion should be about pollution, not climate change.","The climate has changed in the past, but other than the occasional massive extinction level event like the meteor that killed the dinosaurs or super volcano eruptions, it has never changed at remotely close to the speed it is currently changing.",,,,
401,hlir8e-4,"CMV: It was a mistake for The Conversation to ban climate change denialism on their platform, because it backfired.",This CMV post is also not a discussion on the accuracy or validity of research into climate change.,,,,
49,csberj-exh4ym1-exdy8up-4,CMV: Celebrities and politicians that believe in climate change should adopt extreme lifestyle changes and donate bulk of their $ to the cause.,What the politicians and celebrities want is for congress to pass actual laws that force the major contributors to climate change to have to change their operations so it's less harmful to the enviornment.,,,,
450,a2qerv-eb0l659-eb0l659-0,CMV: People should be changing their lifestyles instead of calling for government action when it comes to preventing pollution and slowing climate change.,"I don't like your first point, If people suddenly decided to be enviromentally conscious and companies got the hit, new companies would emerge  with more eco-friendly solutions, even if the economy took a hit, it'd rise again.",,,,
260,icsd8m-6,CMV: I believe that people who actively deny the problem of climate change are evil.,"And I've had conversations with people on both the internet, and in real life, where they actively deny the issue of climate change.",,,,
98,paqlx8-10,CMV: Everyday people will have to make sacrifices/change their lifestyle for our society as a whole to combat climate change,And while we need to governments help to hold these corporations accountable we will eventually also need to make changes in our own lives.,,,,
82,e4cukq-2,CMV: Socialism in it and of itself won't be an effective solution to climate change,"However, the question I have is that how  is socialism supposed to combat climate change?",,,,
394,an59pr-efqz73l-efqvprb-8,CMV: The most ethical course of action is to take very drastic measures to stop climate change,"If you subsidize producers the situation changes, however: you make green energy a more attractive market for everyone by making carbon less attractive (indirectly).",,,,
317,perr6j-hazps55-haznma1-0,"CMV: Instead of saying ""global warming"" and ""climate change"" we should call it what it really is: Global Atmospheric Toxification (GAT)","As a biologist, I don't think I've read or heard the term global warming in a scientific context in over a decade.",,,,
429,ek2e4n-63,CMV: Avoiding a climate change apocalypse by 2050 is essentially impossible.,There is promising upcoming research or technology that will prove to be instrumental in substantially fighting climate change.,,,,
123,q6e7rm-hgbn6py-hgbl64c-0,"CMV: While it's not technically too late to mitigate climate change, the conditions required to do so are not going to happen in the time we have left. Most of humanity is going to die, whether through starvation or war.","It is one thing to say ""eat the bugs and live in the pods"" it is another to say ""here is cheap deep fried cheese bread"" There are constant changes in people's lives, there have been millions upon millions of changes in people's lives due to the internet alone - the entirety of it in my lifetime - yet no one is angry at it.",,,,
242,a0w0rw-2,CMV: Climate change deniers have as much science comprehension as Flat-Earthers,They ignore the majority of scientific data that shows climate change is real and manmade and argue with psudo science and conspiracy theories.,,,,
170,ek2e4n-fd5c3re-fd59juo-3,CMV: Avoiding a climate change apocalypse by 2050 is essentially impossible.,"Food shortages due to crops not growing in areas they used to (not extinction) is the only concern in your list that's actually due to climate change other than natural disasters, which while highly unpleasant, probably won't by apocalyptic by 2050 (or 2100).",,,,
212,dldqdm-f4tmg65-f4q2u6k-0,CMV: The only moral thing our society can do on Climate Change is to act (globally) with an Apollo program-like spending to reduce GHG emissions as quickly as possible,"After going to school for Wildlife Ecology and studying climate change quite a bit, I have come to a personal conclusion that the effects of climate change are not as bad as the affects of everything else humans are doing.",,,,
391,an59pr-efqz73l-efqv7va-0,CMV: The most ethical course of action is to take very drastic measures to stop climate change,"If you make it easier (cheaper) for a company/industry to migrate to green energy, their absence from the prior market (fossil fuels) will cause the price of fossil fuels to go down, at the margin.",,,,
355,jm5egb-gatge83-gate54z-15,CMV: Nuclear energy is a viable temporary solution to our climate change problem,"And revisiting my earlier point above, the renewable energy narrative is very good political story for politicians to sell.",,,,
269,f4gi9s-10,CMV: I don't totally trust the 97% Climate Change Consensus,"If we go only by Consensus, we will run into the same trouble Coke did in the 1980s (they believed Pepsi's consensus that Pepsi was better, ignoring the experiment was done in Dixie cups, and changed their formula to something suitable to Dixie cups, which people hated); as well as the same problem Eugenicists created in the early 20th century (which many people believed at the time).",,,,
412,q6e7rm-28,"CMV: While it's not technically too late to mitigate climate change, the conditions required to do so are not going to happen in the time we have left. Most of humanity is going to die, whether through starvation or war.",The low price of solar is a mirage; getting to 100% renewable energy means coming up with solutions to store excess energy for when it's not being produced.,,,,
111,j7vw7u-g879qwu-g8799h5-3,CMV: Whether climate change is man-made or not is irrelevant.,"Moreover these people often have a strictly individual sense of responsibility meaning that they think that even if bad things happen, if we personally aren't responsible for it, nobody has any right to ask us to do anything about it.",,,,
505,d7m308-36,CMV: Individuals decreasing their emissions have little effect on climate change,The nuclear nation should invest in geo-engineering and big globally binding carbon reduction treaties.,,,,
134,qj8zv5-hioth0v-hioth0v-1,CMV: People who fight for climate change are dishonest and are only looking for purpose,"I think and hope that people really can do nothing about all the problems in the world, climate change being the only exception.",,,,
331,8t5hur-e15gcbw-e159e5f-15,CMV: A carbon tax will help fight climate change,"Companies are creating an externality that costs some amount, tax them that amount to offset the cost and to get them to find alternatives (say.. more research or using other methods that might appear to be cheaper but turn out to be more expensive once you factor in the externalities).",,,,
275,bd2zne-40,CMV: Nothing I can do will meaningfully contribute to ending climate change and pollution.,"Framing climate change as solely an individual issue is still harmful, not only for antagonizing people with low incomes, but for shifting blame off companies and onto average people.",,,,
104,pxlzm0-hezrb9p-heoh0mb-3,CMV: The left should organize itself and impose an armed revolution to implement drastic climate change measures in order to avoid a civilizational collapse,"That is, a revolution is going to by its very nature put in power a group of people who are incentivized _not_ to solve climate change (but to appear to be doing so).",,,,
179,dfd2db-f32e199-f32dv4y-45,CMV: Corporations and the Ultra Wealthy CEOs are responsible for climate change,"Climate change is entirely the fault of the top 1% wealth hoarders and the big oil corporations, they are using all the resources, all the oil, all the meat and destroying everything, the rich corporations hoard it all while the poor get nothing.",,,,
228,lcge08-0,CMV: the fight against climate change will be impossible because of compromises.,"I'm starting to think that it will be impossible to stop climate change from doing too much damage, from flooding low-height densely populated areas, from making deserts (more) uninhabitable.",,,,
187,bbxyr7-ekn9gx5-ekn9gx5-8,CMV: Tunnel vision on dispersed energy sources like solar and wind resulted in complete impotency in adressing the issue of emission-driven Climate Change.,"Here's the problem with nuclear reactors: people are afraid of them, and for good and sufficient reasons.",,,,
72,fryae5-0,"CMV: The Majority of Politicians Who Deny Climate Change, Really Do Believe It","I personally think that the majority of politicians, namely senators and White House officials, are not idiots, or in denial about climate change at all.",,,,
308,pa3sub-ha27kk3-ha2460p-0,CMV: You can't prove climate change is man-made,"I believe there is no experiment to experimentally prove that climate change is man-made, the same way you can experimentally prove that apples are affected by gravity.",,,,
255,b5yph1-22,CMV: More than 60% of people believe climate change is real. Yet they aren't willing to change their lifestyle over it. They are hypocrites.,"If only the people that cared went vegan and bought EV's, the U.S.'s climate change targets would be met.",,,,
310,pa3sub-ha1yhpd-ha1w938-0,CMV: You can't prove climate change is man-made,"A measurement is reliable if you repeat it and get the same or a similar answer over and over again, and an experiment is reliable if it gives the same result when you repeat the entire experiment.",,,,
